    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
33970,34049,28184,24308,22039,7928,2948,4980,14111,42663,42776,30216,27395,8607,2388,6401,18861,278103
34271,34369,28359,24431,22423,8150,3065,5085,14273,42897,43033,30208,27725,8785,2495,6443,18997,278864
34718,34805,28652,24646,22725,8261,3114,5146,14464,43299,43422,30314,27951,8861,2547,6452,19146,279751
35376,35499,29195,25081,23126,8406,3123,5283,14720,43919,44085,30668,28276,8986,2570,6564,19343,280592
35659,35768,30022,25724,23614,8577,3274,5303,15037,43935,44083,31192,28634,9097,2706,6490,19590,281304
36448,36568,30409,26046,23891,8641,3198,5443,15250,44654,44815,31438,28837,9123,2649,6603,19777,282002
36629,36732,30855,26442,24208,8731,3224,5507,15477,44586,44727,31719,29039,9193,2687,6628,19908,282769
36937,37128,31048,26608,24494,8793,3230,5563,15700,44721,44967,31742,29220,9248,2699,6674,20034,283518
36978,37121,31535,26952,24705,8794,3261,5532,15911,44492,44677,31940,29276,9248,2737,6619,20092,284169
37349,37523,31590,26994,24829,8811,3228,5583,16018,44623,44845,31836,29282,9251,2728,6635,20095,284838
37255,37349,31482,27581,24873,8806,3235,5571,16067,44366,44491,32504,29313,9293,2752,6648,20077,285584
37377,37692,31492,27189,25205,9002,3478,5524,16203,44376,44764,32020,29685,9603,2974,6687,20107,286311
37759,37938,31567,27840,25272,8920,3398,5523,16351,44687,44912,32728,29709,9558,2931,6697,20186,286935
38024,38137,31783,28134,25539,8999,3407,5592,16541,44834,44981,32821,29795,9575,2953,6686,20256,287574
38283,38445,31820,28168,25782,9088,3481,5607,16694,44938,45142,32696,29927,9671,3032,6685,20285,288303
38421,38642,31985,28363,25976,9089,3402,5687,16887,44857,45128,32773,30014,9675,2983,6756,20371,289007
38777,38950,32114,28584,26220,9173,3363,5810,17047,44996,45209,32796,30084,9709,2986,6788,20405,289609
39175,39395,32469,28958,26475,9221,3472,5748,17255,45312,45580,33197,30351,9896,3116,6823,20473,290253
39952,40172,32822,29539,26963,9503,3582,5921,17460,45957,46223,33657,30722,10150,3247,6932,20575,290974
40515,40825,33220,29708,27217,9560,3586,5973,17658,46384,46752,33713,30887,10218,3280,6963,20671,291669
41023,41396,33560,30094,27638,9723,3635,6088,17915,46560,46996,33893,31127,10309,3328,7002,20819,292237
41592,41879,34047,30537,27952,9810,3659,6151,18141,46799,47134,34152,31261,10344,3354,7009,20919,292875
42124,42446,34436,30800,28313,9912,3693,6219,18401,47107,47480,34247,31481,10443,3411,7045,21039,293603
42680,42915,35070,31353,28757,10111,3741,6370,18646,47396,47669,34589,31725,10530,3450,7091,21195,294334
43443,43792,35121,31145,29066,10193,3765,6428,18873,47800,48196,34183,31900,10634,3479,7167,21262,294957
43892,44203,35585,31533,29514,10343,3859,6485,19170,47947,48299,34380,32178,10751,3570,7183,21421,295588
44562,44907,36101,31961,29993,10547,3865,6682,19446,48228,48612,34469,32345,10783,3602,7181,21558,296340
45043,45290,36624,32396,30265,10542,3744,6798,19723,48381,48657,34666,32386,10767,3497,7285,21616,297086
45842,46096,37652,33217,30679,10721,3874,6847,19958,48856,49137,35380,32677,10957,3632,7329,21712,297736
